,titles,years,ratings,actors_list
0,The Shawshank Redemption,(1994),9.240000846602523,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
1,The Godfather,(1972),9.16097021728745,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
2,The Dark Knight,(2008),8.99363868225891,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
3,The Godfather: Part II,(1974),8.990101099989525,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
4,12 Angry Men,(1957),8.950691937485331,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
5,Schindler's List,(1993),8.939961514408262,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
6,The Lord of the Rings: The Return of the King,(2003),8.927279064260599,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
7,Pulp Fiction,(1994),8.85892054534383,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
8,The Lord of the Rings: The Fellowship of the Ring,(2001),8.811479897500972,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
9,"Il buono, il brutto, il cattivo",(1966),8.802381524493372,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
10,Forrest Gump,(1994),8.776388169206896,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
11,Fight Club,(1999),8.759945958594518,"David Fincher (dir.), Brad Pitt, Edward Norton"
12,Inception,(2010),8.74386324672999,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
13,The Lord of the Rings: The Two Towers,(2002),8.735564121192139,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
14,The Empire Strikes Back,(1980),8.709820990772203,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
15,The Matrix,(1999),8.680502091460058,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
16,Goodfellas,(1990),8.658787861072831,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
17,One Flew Over the Cuckoo's Nest,(1975),8.649521764969322,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
18,Se7en,(1995),8.611824095643637,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
19,Shichinin no samurai,(1954),8.604280228716435,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
20,It's a Wonderful Life,(1946),8.60386277321202,"Frank Capra (dir.), James Stewart, Donna Reed"
21,The Silence of the Lambs,(1991),8.5962934231118,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
22,Saving Private Ryan,(1998),8.585612037760443,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
23,Cidade de Deus,(2002),8.5850042890048,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
24,La vita è bella,(1997),8.572183843535395,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
25,The Green Mile,(1999),8.567972334444127,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
26,Star Wars,(1977),8.56454203503654,"George Lucas (dir.), Mark Hamill, Harrison Ford"
27,Interstellar,(2014),8.563068505694861,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
28,Terminator 2: Judgment Day,(1991),8.544499147170969,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
29,Back to the Future,(1985),8.527146683271031,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
30,Sen to Chihiro no kamikakushi,(2001),8.52337162902577,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
31,Psycho,(1960),8.515604898473201,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
32,Léon,(1994),8.512369338633626,"Luc Besson (dir.), Jean Reno, Gary Oldman"
33,The Pianist,(2002),8.511804753109837,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
34,Gisaengchung,(2019),8.50223095636973,"Bong Joon Ho (dir.), Kang-ho Song, Sun-kyun Lee"
35,The Lion King,(1994),8.49868117973664,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
36,Gladiator,(2000),8.494736896242197,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
37,American History X,(1998),8.493918834843237,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
38,The Usual Suspects,(1995),8.486229753081139,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
39,The Departed,(2006),8.484171944895,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
40,The Prestige,(2006),8.478100124391505,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
41,Casablanca,(1942),8.471962351585264,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
42,Whiplash,(2014),8.465471421272648,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
43,The Intouchables,(2011),8.462697867162012,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
44,Modern Times,(1936),8.456731854446751,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
45,Once Upon a Time in the West,(1968),8.455347690237875,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
